Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
1037.9,7,38,83,122.41,342.66,73.23,0.98,1904.08,6388.66,2714.753,202.95,300.68,8,0.81,1497,0.6,1.21,84.86,63.47,1.06,2
597.94,3,4,11,44.21,121.11,19.23,0.76,279.16,879.52,414.693,75.06,91.78,3,0.88,156,0.5,0.66,78.66,46.49,1.07,2
412.33,7,22,51,96.81,256.18,55.25,0.52,1458.4,2748.04,753.633,173.64,209.07,4,0.86,983,0.44,1.41,74.25,58.86,1.04,2
678.81,6,3,12,28.97,83.4,25.38,1.59,298.37,1501.39,687.983,63.26,80.34,2,0.82,525,0.33,1.11,85.22,86.21,1.03,2
587.94,7,4,15,26.08,92.07,18.29,1.24,309.53,1305.02,482.733,57.86,77.1,3,0.8,480,0.5,1.34,66.46,64.15,1.05,2
1651.86,10,20,50,94.72,124.25,63.48,1.11,1158.01,4326.93,1458.853,115.83,190.75,6,0.79,1779,0.47,1.8,100.25,72.81,1.04,2
1320.18,7,3,13,43.04,81.08,16.43,1.56,312.32,1592.22,713.463,54.29,71.78,1,0.8,406,0,1.15,64.53,65.87,1.04,2
858.67,12,1,14,51.86,127.75,28.24,1.25,502.42,2055.91,780.673,88,117.47,1,0.82,728,0,1.15,85.3,60.02,1.02,2
882.97,8,4,16,48.33,129.49,37.24,1.23,501.3,2017.55,691.83,115.51,163.95,4,0.76,782,0.75,1.48,93.18,89.5,1.04,2
1135.17,3,1,5,12.27,30.84,9.44,1.44,89.91,442.04,192.73,32.26,37.88,1,0.85,70,0,1.13,127.33,70.57,1.02,2
1673.41,13,4,21,55.07,136.45,57.04,1.57,875.46,4230.1,1902.233,129.35,147.99,2,0.8,582,0.25,1.59,56.64,37.68,1.03,2
2289.42,8,8,24,45.36,274.35,32.29,1.59,847.41,4405.14,2066.563,268.21,321.85,4,0.83,1448,0.25,1.47,83.5,56.38,1.03,2
1046.51,5,3,11,79.08,113.23,40.43,1.52,465.76,2388.58,1233.993,97.65,140.09,2,0.8,777,0.33,1.19,84.24,78.5,1.08,2
1203.16,11,7,25,43.31,131.36,56.04,1.43,677.98,2759.81,1006.33,95.37,112.81,3,0.85,460,0.42,1.6,88.21,74.15,1.02,2
1542.81,7,2,11,81.82,56.24,31.32,1.65,354.77,2033.78,1066.483,61.17,76.4,2,0.83,272,0.5,1.94,111.6,94.46,1.03,2
1780.53,6,7,20,66.42,181.18,20.42,1.45,696.98,3369.11,1643.373,165.07,197.28,4,0.82,760,0.57,1.14,68.73,62.01,1.03,2
806.37,1,2,5,17.96,67.6,36.34,1.56,158.01,788.7,333.973,73.97,102.33,2,0.81,125,0.5,0.99,99.67,67.59,1.06,2
1219.52,2,2,6,20.07,133.98,56.2,1.66,238.18,1385.73,758.683,146.16,190.47,2,0.8,179,0.5,1.45,55.71,81.65,1.04,2
661.14,6,6,18,45.66,77.52,37.32,1.41,328.49,1670.07,863.663,53.17,81.85,2,0.81,215,0,1.56,71.2,92.49,1.06,2
1204.3,7,2,11,85.82,60.44,29.59,1.15,441.54,1928.27,821.233,80.87,114.52,1,0.67,227,0,2.12,42.84,29.68,1.05,2
789.12,5,10,25,53.37,149.23,32.71,1.34,636.46,2794.46,1197.273,139.81,193.79,5,0.77,505,0.66,1.52,80.64,83.54,1.03,2
1050.45,6,5,16,93.37,155.9,35.69,0.99,937.82,3273.93,1102.563,105.41,252.66,2,0.74,1322,0.4,1.75,90.38,91.33,1.03,2
1347.68,7,5,17,121.03,202.35,26.4,0.98,1057.43,3481.08,1010.023,120.17,153.01,2,0.82,1517,0.2,1.2,89.37,88.35,1.03,2
1564.95,5,6,17,63.6,133.26,47.59,1.31,617.94,2989.89,1669.373,100.27,118.71,2,0.85,1623,0.33,1.28,75.6,50.08,1.03,2
1471.15,8,5,18,82.62,169.87,49.64,1.11,918.13,3368.39,1027.23,141.57,173.87,1,0.82,1403,0,1.25,100.74,66.62,1.06,2
1471.15,8,5,18,82.62,169.87,49.64,1.11,918.13,3368.39,1027.23,141.57,173.87,1,0.82,1403,0,1.25,100.74,66.62,1.06,2
643.07,6,5,16,138.36,181.13,32.89,1.2,825.72,3253.18,1161.323,135.86,173.72,2,0.81,1833,0,1.3,61.91,60.67,1.03,2
592.25,6,1,8,65.59,123.78,47.7,1.4,525.04,2421.19,969.683,90.44,110.41,1,0.79,900,0,1.15,62.17,78.4,1.02,2
1872.07,6,6,18,123.86,151.47,56.1,1.56,827.71,4600.8,2380.823,117.45,138.82,2,0.84,1687,0.33,0.96,72.48,68.86,1.06,2
1396.15,8,11,30,110.69,209.76,62.53,1.49,1015.98,5273.52,2528.323,186.26,220.79,3,0.84,2725,0.36,1.06,80.84,53.38,1.03,2
1084.58,8,4,16,48.9,323.98,52.3,1.17,888.73,3533.47,1238.793,247.95,284.39,2,0.84,2408,0.5,1.5,76.6,63.24,1.02,2
1064.39,8,4,16,121.76,218.34,33.49,1.04,1080.83,3784.5,1185.223,161.5,187,2,0.83,2636,0.25,1.44,88.4,57.37,1.02,2
1053.5,9,5,19,74.75,267.7,50.68,1.08,954.05,3611.22,1287.483,176.12,231.11,3,0.85,2483,0.4,1.21,100.05,67.35,1.03,2
1220.55,6,6,18,59.52,136.71,49.69,1.08,603.74,2224.58,728.543,97.83,124.12,2,0.83,1490,0.16,1.22,95.02,70.35,1.04,2
896.53,9,3,15,44.52,211.22,50.99,1.36,560.8,2495.01,953.493,190.81,213.96,2,0.87,1241,0.33,1.27,84.24,66.36,1.04,2
753.75,12,8,28,78.13,194.86,33.69,1.06,1090.58,3795.27,1340.833,172.16,195.09,3,0.79,3074,0.37,1.42,83.75,85.2,1.04,2
660.34,6,27,60,75.43,178.81,21.59,1.11,892.57,3506.87,1426.623,102.88,163.92,6,0.77,797,0.48,1.64,93.51,85.53,1.08,2
1379.31,5,6,17,42.43,160.89,19.44,1.67,444.82,2459.96,1356.323,144.38,197.05,2,0.75,552,0.33,1.16,74.32,80.03,1.12,2
1783.83,8,11,30,64.79,157.63,54.06,1.35,969.09,4465.76,1851.113,134.13,201.16,4,0.7,1447,0.45,1.24,81.56,63.93,1.09,2
983.67,7,7,21,58.04,112.49,39.4,1.12,716.73,2771.83,999.673,77.76,171.94,3,0.7,831,0.47,1.62,89.04,106.45,1.07,2
2089.39,8,6,20,86.85,174.45,26.64,1.46,714.89,3365.44,1446.883,152.01,205.78,4,0.82,1227,0.38,1.28,81.63,77.69,1.02,2
2450.46,13,4,21,96.87,127.7,30.7,1.49,937.64,4556.03,2082.413,113.72,143.98,1,0.79,1499,0,1.4,86.48,81.08,1.04,2
2803.4,10,5,20,138.23,137.57,46.75,1.29,926.54,3828.71,12983,157.73,207.94,2,0.79,1462,0,1.76,79.72,65.11,1.04,2
1611.27,10,6,22,68.92,98.39,37.89,1.48,589.21,2790.74,1196.833,73.25,93.17,2,0.83,911,0,1.05,84.97,68.4,1.06,2
3348.99,3,14,31,216.51,380.78,12.99,0.25,2093.84,1644.5,102.783,318.26,398.77,5,0.86,5866,0.54,2,31.86,58.96,1.05,2
3864.5,6,12,30,130.4,350.72,12.21,0.25,1386.26,1088.76,68.053,233.94,292.28,3,0.86,3689,0.35,2,37.08,35.82,1.04,2
2414,7,10,27,171.58,439.08,10.61,0.25,1869.69,1468.45,91.783,295.52,359.87,3,0.86,5037,0.4,2,44.79,68.22,1.04,2
5304.16,3,5,13,394.55,151.28,21.94,0.25,944.01,741.42,46.343,237.04,287.17,3,0.84,1604,0.6,2,48.89,62.62,1.05,3
1254.62,6,7,20,391.6,113.92,45.96,0.25,1575.15,1237.12,77.323,221.15,322.59,2,0.86,2857,0.29,2,23.51,49.06,1.05,3
3795.57,4,5,14,271.37,208.27,10,0.25,1103.71,866.85,54.183,229.84,264.4,2,0.85,1988,0.2,2,30.24,56.65,1.06,3
14301.3,5,5,15,328.68,181.85,22,0.25,1381.79,1085.25,67.833,209.93,269.1,2,0.83,2450,0.4,2,27.04,25.55,1.06,3
6837.41,5,4,13,393.08,82.3,18,0.25,1034.45,812.45,50.783,230.78,269.42,2,0.88,1731,0.25,2,65.77,65.81,1.04,3
1370.56,4,5,14,388.38,263.13,20,0.25,1767.31,1388.04,86.753,243.42,318.78,2,0.81,3235,0.2,2,7.21,79.68,1.06,3
2441.29,4,4,12,427.04,185.16,30,0.25,1675.52,1315.95,82.253,268.6,334.48,3,0.87,3121,0.5,2,8.53,36.36,1.03,3
927.11,3,6,15,372.08,91.53,18,0.25,834.48,655.4,40.963,208.46,269.22,3,0.8,1507,0.67,2,29.26,55.08,1.06,3
4963.94,4,7,18,501.1,216.26,22,0.25,1915.99,1504.82,94.053,279.47,441.25,2,0.82,3476,0.43,2,28.43,46.65,1.06,3
2978.31,4,7,18,337.63,268.56,44,0.25,2218.29,1742.24,108.893,217.73,629.09,3,0.81,4026,0.43,2,16.33,45.49,1.06,3
5247.53,3,8,19,362.29,300.47,37.95,0.25,1725,1354.82,84.683,263.18,344.56,3,0.85,3086,0.42,2,32.96,36.83,1.06,3
901,7,5,17,326.21,266.18,39.84,0.25,1925.73,1512.47,94.533,207.97,238.74,2,0.86,3576,0.4,2,18.01,54.54,1.04,3
4021.02,3,9,21,331.32,215.14,11.99,0.25,1283.72,1008.23,63.013,222.73,320.88,5,0.87,2477,0.5,2,79.17,88.44,1.04,3
2043,6,7,20,359.64,197.46,40,0.25,1954.87,1535.35,95.963,218.22,255.14,2,0.84,3485,0.14,2,15.87,58.87,1.04,3
3483.76,5,5,15,374.62,131.8,26,0.25,1321.49,1037.9,64.873,232.39,283.18,2,0.84,2377,0,2,15.64,56.56,1.05,3
2089.18,3,12,27,326.78,204.64,39.99,0.25,2148.08,1687.09,105.443,225.18,439.1,9,0.84,3932,0.75,2,32.56,72.63,1.05,3
